warmup,run_id,message_id,source_row_id,source_timestamp_utc,client_started_at_utc,client_ended_at_utc,http_status,contract_ok,deadline_met,end_to_end_ms,server_processing_ms,storage_write_ms,client_network_overhead_ms,request_bytes,response_bytes,function_version,azure_received_at_utc,azure_persisted_at_utc,error
False,azure-live-20260802T165654Z,msg-00059,historical:026653,2026-05-20T21:48:38.888207+00:00,2026-08-02T16:56:58.641+00:00,2026-08-02T16:56:58.686+00:00,200,True,True,44.965,7.49,7.255,37.475,552,609,v3.0-azure-live-replay,2026-08-02T16:56:58.810Z,2026-08-02T16:56:58.817Z,
False,azure-live-20260802T165654Z,msg-00060,historical:027105,2026-05-20T22:16:16.816354300+00:00,2026-08-02T16:56:58.687+00:00,2026-08-02T16:56:58.742+00:00,200,True,True,55.088,14.083,13.789,41.005,555,612,v3.0-azure-live-replay,2026-08-02T16:56:58.856Z,2026-08-02T16:56:58.870Z,
False,azure-live-20260802T165654Z,msg-00061,historical:027557,2026-05-20T22:43:54.728305700+00:00,2026-08-02T16:56:58.743+00:00,2026-08-02T16:56:58.790+00:00,200,True,True,47.111,7.839,7.6,39.272,555,608,v3.0-azure-live-replay,2026-08-02T16:56:58.912Z,2026-08-02T16:56:58.920Z,
False,azure-live-20260802T165654Z,msg-00062,historical:028009,2026-05-20T23:12:00.645276200+00:00,2026-08-02T16:56:58.791+00:00,2026-08-02T16:56:58.837+00:00,200,True,True,46.098,8.373,8.136,37.725,555,610,v3.0-azure-live-replay,2026-08-02T16:56:58.960Z,2026-08-02T16:56:58.969Z,
False,azure-live-20260802T165654Z,msg-00063,historical:028460,2026-05-20T23:39:44.223847300+00:00,2026-08-02T16:56:58.839+00:00,2026-08-02T16:56:58.889+00:00,200,True,True,50.047,11.19,10.944,38.857,555,611,v3.0-azure-live-replay,2026-08-02T16:56:59.009Z,2026-08-02T16:56:59.020Z,
False,azure-live-20260802T165654Z,msg-00064,historical:028912,2026-05-21T00:07:42.649297100+00:00,2026-08-02T16:56:58.890+00:00,2026-08-02T16:56:58.945+00:00,200,True,True,55.185,9.364,9.022,45.821,555,610,v3.0-azure-live-replay,2026-08-02T16:56:59.063Z,2026-08-02T16:56:59.072Z,
False,azure-live-20260802T165654Z,msg-00065,historical:029364,2026-05-21T00:36:09.161922800+00:00,2026-08-02T16:56:58.946+00:00,2026-08-02T16:56:58.995+00:00,200,True,True,49.242,9.388,9.151,39.854,555,610,v3.0-azure-live-replay,2026-08-02T16:56:59.117Z,2026-08-02T16:56:59.126Z,
False,azure-live-20260802T165654Z,msg-00066,historical:029816,2026-05-21T01:04:50.334750900+00:00,2026-08-02T16:56:58.996+00:00,2026-08-02T16:56:59.041+00:00,200,True,True,44.704,7.392,7.154,37.312,555,610,v3.0-azure-live-replay,2026-08-02T16:56:59.165Z,2026-08-02T16:56:59.172Z,
False,azure-live-20260802T165654Z,msg-00067,historical:030267,2026-05-21T01:32:46.991057+00:00,2026-08-02T16:56:59.042+00:00,2026-08-02T16:56:59.105+00:00,200,True,True,63.425,8.217,7.972,55.208,552,610,v3.0-azure-live-replay,2026-08-02T16:56:59.228Z,2026-08-02T16:56:59.237Z,
False,azure-live-20260802T165654Z,msg-00068,historical:030719,2026-05-21T02:00:58.691285100+00:00,2026-08-02T16:56:59.106+00:00,2026-08-02T16:56:59.153+00:00,200,True,True,46.852,7.708,7.401,39.144,555,610,v3.0-azure-live-replay,2026-08-02T16:56:59.276Z,2026-08-02T16:56:59.283Z,
False,azure-live-20260802T165654Z,msg-00069,historical:031171,2026-05-21T02:30:16.685647500+00:00,2026-08-02T16:56:59.154+00:00,2026-08-02T16:56:59.205+00:00,200,True,True,51.715,11.693,11.438,40.022,555,612,v3.0-azure-live-replay,2026-08-02T16:56:59.325Z,2026-08-02T16:56:59.337Z,
